Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 13:30:00+00:00,268.6050109863281,270.9599914550781,268.42999267578125,269.9599914550781,4212983,1099.0999755859375,1108.22998046875,1096.0,1106.4300537109375,778803,754.75,759.155029296875,745.1400146484375,750.1400146484375,4227356,231.6719970703125,232.80999755859375,227.75999450683594,229.1300048828125,14210522,269.2749938964844,271.4100036621094,268.70001220703125,270.4200134277344,10209230
2025-10-29 14:30:00+00:00,269.9700012207031,271.7749938964844,269.6000061035156,271.239990234375,2694614,1106.530029296875,1107.5,1098.0,1102.2301025390625,351267,750.1500244140625,750.77001953125,746.5,748.5,1656392,229.1199951171875,231.2949981689453,228.86000061035156,230.53500366210938,7059244,270.4100036621094,270.44500732421875,267.51220703125,267.6300048828125,6247839
2025-10-29 15:30:00+00:00,271.25,273.1499938964844,271.1600036621094,272.6050109863281,2126909,1102.2301025390625,1104.5499267578125,1101.3499755859375,1103.510009765625,215873,748.4099731445312,751.9400024414062,747.510009765625,750.469970703125,1210653,230.52999877929688,231.61000061035156,230.33999633789062,231.3679962158203,5603630,267.6099853515625,268.8599853515625,267.1099853515625,268.6199951171875,4595121
2025-10-29 16:30:00+00:00,272.6000061035156,272.980712890625,272.30999755859375,272.8699951171875,1489061,1103.3695068359375,1103.780029296875,1096.8199462890625,1098.969970703125,315000,750.2999877929688,750.9400024414062,747.77001953125,749.5700073242188,1095721,231.3800048828125,231.4199981689453,230.02999877929688,230.3721923828125,3093822,268.6029968261719,269.93011474609375,268.4700927734375,269.93011474609375,3066081
2025-10-29 17:30:00+00:00,272.8699035644531,274.1199951171875,272.8399963378906,273.9400939941406,2202197,1098.5799560546875,1103.669921875,1097.724609375,1102.739990234375,266108,749.4000244140625,749.8099975585938,746.989990234375,748.5050048828125,1077386,230.3699951171875,230.43099975585938,228.58999633789062,229.69000244140625,4626812,269.8900146484375,270.8500061035156,269.7900085449219,270.80999755859375,4963178
2025-10-29 18:30:00+00:00,274.010009765625,274.3999938964844,271.8800048828125,273.7160949707031,3123174,1102.3800048828125,1103.7249755859375,1097.25,1099.0999755859375,261804,748.4500122070312,750.2000122070312,742.510009765625,747.5999755859375,2369938,229.7220001220703,230.1199951171875,228.1300048828125,228.86000061035156,5801484,270.7850036621094,270.92999267578125,268.260009765625,268.30999755859375,5156103
2025-10-29 19:30:00+00:00,273.70001220703125,275.9200134277344,273.55499267578125,275.8299865722656,3193325,1099.35986328125,1102.5999755859375,1097.592529296875,1100.3900146484375,587656,747.7849731445312,755.5999755859375,746.1799926757812,752.0,2625240,228.8300018310547,230.6199951171875,228.32000732421875,230.33999633789062,4490640,268.32000732421875,270.3800048828125,267.79998779296875,269.7300109863281,4325904
2025-10-30 13:30:00+00:00,291.8699951171875,291.8999938964844,280.45001220703125,289.6650085449219,14223409,1095.0,1106.1300048828125,1089.3599853515625,1100.06005859375,532362,668.75,672.0,650.1699829101562,661.510009765625,23436265,226.87249755859375,228.0,223.9499969482422,226.67999267578125,11757958,271.989990234375,274.1400146484375,268.989990234375,269.0899963378906,8387840
