Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-06 14:30:00+00:00,267.8900146484375,272.82000732421875,267.8900146484375,272.82000732421875,6762187,635.75,635.8499755859375,622.239990234375,625.0599975585938,4539909,249.22000122070312,250.3800048828125,246.5800018310547,247.1595001220703,7131629,285.7349853515625,288.80999755859375,284.2699890136719,285.2099914550781,4960015,1095.1400146484375,1099.0050048828125,1085.75,1093.06396484375,499328
2025-11-06 15:30:00+00:00,272.8280029296875,273.3999938964844,271.55010986328125,272.1814880371094,5580072,625.2100219726562,625.2100219726562,619.1799926757812,622.1599731445312,2536887,247.1999969482422,247.2899932861328,242.89999389648438,243.66000366210938,4884480,285.2300109863281,285.3399963378906,281.6199951171875,284.1907043457031,1908302,1093.39501953125,1103.2099609375,1092.4300537109375,1100.8299560546875,370479
2025-11-06 16:30:00+00:00,272.17999267578125,272.2200012207031,270.3900146484375,271.42498779296875,3198033,622.2564086914062,624.6298828125,618.7999877929688,624.3900146484375,1585014,243.64999389648438,244.0749969482422,242.1699981689453,243.94000244140625,3243623,284.2596130371094,285.5342102050781,283.42999267578125,285.4949951171875,1589151,1100.8399658203125,1103.699951171875,1097.1500244140625,1102.1800537109375,266958
2025-11-06 17:30:00+00:00,271.4200134277344,272.56500244140625,270.9200134277344,271.3500061035156,2621839,624.3400268554688,626.0,622.1099853515625,623.4400024414062,1306807,243.9600067138672,244.74000549316406,243.3800048828125,244.11000061035156,2169963,285.45001220703125,286.92999267578125,284.94000244140625,285.94000244140625,1137746,1102.0799560546875,1103.0699462890625,1091.7349853515625,1094.0999755859375,186616
2025-11-06 18:30:00+00:00,271.3699951171875,272.1600036621094,271.0203857421875,271.9901123046875,1783486,623.4099731445312,625.7899780273438,621.7537231445312,624.7550048828125,1121435,244.10000610351562,245.50999450683594,243.8300018310547,245.40989685058594,2267194,285.92999267578125,287.79998779296875,285.6099853515625,287.5696105957031,1058616,1094.1700439453125,1094.530029296875,1085.1300048828125,1090.2950439453125,290539
2025-11-06 19:30:00+00:00,272.0050048828125,272.20001220703125,270.7349853515625,271.2099914550781,2198935,624.7750854492188,625.7899780273438,621.3001098632812,621.4000244140625,980154,245.40499877929688,245.5399932861328,244.08999633789062,244.1199951171875,2189143,287.53009033203125,287.7200012207031,285.489990234375,285.8349914550781,992507,1090.5155029296875,1094.4512939453125,1087.9100341796875,1093.0799560546875,178280
2025-11-06 20:30:00+00:00,271.20001220703125,271.52020263671875,269.5950012207031,269.6600036621094,14262779,621.3499755859375,621.8599853515625,618.0,619.0999755859375,1587235,244.1199951171875,244.52499389648438,242.64999389648438,243.0800018310547,4062106,285.8500061035156,286.3299865722656,284.80999755859375,285.3500061035156,8286741,1093.280029296875,1098.5899658203125,1092.0001220703125,1097.3900146484375,420333
2025-11-07 14:30:00+00:00,269.7950134277344,272.2900085449219,267.2699890136719,271.5799865722656,7855390,616.4849853515625,617.4000244140625,603.6901245117188,606.5928955078125,7313599,242.89999389648438,243.1699981689453,239.14999389648438,240.9499969482422,8509805,284.17999267578125,284.5,276.3900146484375,278.7900085449219,4694504,1094.175048828125,1108.219970703125,1087.800048828125,1101.5699462890625,555821
